Job_Title,Company_Name,City,Number_Of_Days,Skills,Employment_Type,Salary
Data Scientist (Machine Learning),Trinamix,"Atlanta, GA",1 week ago,"Analytics, Data science, Machine learning, Research, Health care, Health informatics, Computer science, Artificial intelligence, Production, Statistics, Continuous improvement, Software, Training, Software deployment, Self motivated, Engineering, Monitoring, QA, Collaboration, Calibration",Full Time,Depends on Experience
Data Scientist-,West Coast Consulting LLC,,5 days ago,"Advanced analytics, Artificial intelligence, Data mining, Data science, Integration testing, PyTorch, Machine learning, Natural language processing, R, Python, Software deployment, Statistical models, Statistics, Neural networks, Docker, Java",Full Time,Depends on Experience
Senior Data Scientist,"IT-Strat, LLC","Kingstowne, VA",1 week ago,"machine learning, analytics, R, Python, Scala, Java, SQL, Natural Language Processing, NLP, computational linguistics, entity extraction, named entity recognition, NER, name matching, disambiguation, Latent Semantic Analysis, LSA, Latent Dirichlet Allocation, LDA, SAS, SPSS Modeler, WEKA, terabyte, petabyte, unstructured, structured, data mining, analysis",Full Time,Depends on Experience
Data Scientist,PREDICTif Solutions,"Houston, TX",5 days ago,"R Programming, SAS Open Source, data science, python, cloud, machine learning, forecast, Analytics, Big data, Business analysis, Customer facing, Data modeling, Data analysis, Data visualization, Data-flow diagrams, Mathematics, Thought leadership, Statistics, Troubleshooting",Full Time,Market
Data Scientist,Systems Technology Group Inc. (STG),"Dearborn, MI",7 hours ago,"machine learning, data, predictive","Contract W2, 12 Months",Depends on Experience
Data Scientist,Peterson Technology Partners,"Milwaukee, WI",1 week ago,"Machine Learning, Image Analysis, Statistical Analysis Experience, Python, Azure, Data Factory, Databricks, Flow Modeling, Sql Server.",Full Time,Depends on Experience
Sr Data Scientist,Emonics LLC,"Alpharetta, GA",5 hours ago,,,
"Sr. Data Scientist - Deep Learning models, Histopathology data/Digital Pathology *** 100% remote *** Direct End Client ***","Projas Technologies, LLC",,1 hour ago,"data science, statistics, machine learning models, deep learning networks, python, spark, pyspark, TensorFlow, Artificial intelligence, Leadership, Apache Spark, Machine learning, Health care, Deep learning, Pharmaceutics, Computer science, Software development, Mathematics, 2D computer graphics, 3D computer graphics, Advanced analytics, Algorithms, CNN, Computational science, Data engineering, Data management, DICOM, Computer vision, HPC, Life sciences, Medical imaging, PyTorch, RWD, scikit-learn, NumPy, Keras, .NET, Biomedicine, Budget, C, Cloud, Communication skills, Data analysis, Data mining, Debugging, Editing, Engineering, Evaluation, FOCUS, Fluency, Git, Image analysis, JIRA, Linux, MATLAB, Medical devices, Optimization, Organizational skills, Pattern recognition, Physics, Product development, Productivity, Prototyping, Publications, QA, RF, Research, SOLID, Shell, Software, Software engineering, Storage, Training, Unix, Video, Workflow","Contract W2, Contract Corp-To-Corp, 12 Months",Depends on Experience
Senior Data Scientist,Attain,"Headquarters, VA",7 hours ago,"Engineering, Development, Security, Data Modeling, Data Warehouse",Full Time,
Data Scientist,Veritas Partners,"Baltimore County, MD",1 week ago,"Artificial intelligence, Business intelligence, Data analysis, Data engineering, Data modeling, Data science, Forecasting, Mathematics, Machine learning, Tableau, Statistics, Statistical models, R",Full Time,"$100,000 - $160,000"
Junior Data Scientist with TS/SCI Clearance,General Dynamics Information Technology,"Springfield, VA",1 hour ago,"Data Analysis, Python, SQL, Excel, Oracle, MySQL",Full Time,
Data Scientist Lead (Digital Fraud),PNC Financial Services Group,"Pittsburgh, PA",1 hour ago,"Python, SQL, SAS, Engineers, Risk Management, Data Architecture, Data Mining, Modeling, Database, Access",Full Time,
Data Analytics / Data Scientist,Comptech Associates Inc,"Jersey City, NJ",1 week ago,"Data Analytics, SAS, Pharma","Contract W2, Contract Independent",Depends on Experience
Data Scientist,Braxton Science & Technology Group,"Colorado Springs, CO",2 weeks ago,"machine learning, deep learning, data analysis techniques, Python, Data science, Data analysis, Configuration management, Mathematics, Scripting",Full Time,Depends on Experience
Lead Data Scientist,Medix IT Staffing Solutions,"Bethesda, MD",1 week ago,"Data Science, R, Python, Scikit-learn, Pandas, Numpy, Scipy, PySpark, NLTK, Spark, MapR, Machine Learning",Full Time,"$145,000 - $185,000"
Entry Level Associate Data Scientist - CIC Monroe,Louisiana Economic Development,"Monroe, LA",1 week ago,"Azure, Data Structure, MATLAB, Amazon Web Services, JavaScript, Machine Learning, Java, IoT, Statistical Modeling, Predictive Modelling, Scripting, Big Data, SPSS, Scala, Python, Database Administration, Technical, Visualization, Data Analytics",Full Time,Depends on Experience
Sr. Data Scientist (remote),Will-N-Able,"Portland, Oregon",4 days ago,"AI, Machine learning, data science, OpenCV, Deep Learning, NLP","Contract W2, Contract Independent, 6 Months",Depends on Experience
Senior Data Scientist,Cognizant Technology Solutions,"Collegeville, PA",2 hours ago,"NLP, Computer, Data Warehouse, Programming, Java, Python",Full Time,
Lead Data Scientist / Bioinformatics Lead - Oncology,Vertogic,"Jersey City, NJ",4 hours ago,"Data modeling, Bioinformatics, Big data, Python, Pharmaceutics, R, CANCER","Contract W2, Contract Independent, Contract Corp-To-Corp",Depends on Experience
Data Scientist Chief,SAIC,"Fort Meade, MD",4 hours ago,,,
Data Scientist (Assortment Optimization),Mindlance,"San Francisco, CA",4 hours ago,"SQL, Python, QA, Science, Statistics, Optimization, Operations research, Operations, Economics, Supply chain management, Data science, A/B testing, Business acumen, Machine learning, Business partnership, Computer science, Data modeling, Industrial engineering, Mathematics, measurement, validating, assortment, backtesting",Contract W2,Depends on Experience
Sr. Data Scientist,Litmus7 Systems Consulting Inc.,"Charlotte, NC",5 hours ago,"Forecasting, Advance Analytics, Thought Leader, USE Cases, Python, Tensor Flow, Pytorch, Machine Learning, Data science, Inventory, Supply chain optimization, Capacity management, Predictive modelling, Algorithms, Text mining, Optimization","Contract W2, Contract Independent, Contract Corp-To-Corp, 6 Months",$70 - $85
"Sr. Data Scientist 100% remote (Must have NLP, ML, AI, AMP, Python & PhD-Mathematics/Statistics)) 12 Months contract - Direct client. Interview slots available from the client.",Accion Labs,,6 hours ago,"Data Science, Machine Learning, Artificial Intelligence, Advanced Multimedia processing, Python & PhD in Data science will be plus., NLP - Natural language Processing","Contract W2, Contract Independent, Contract Corp-To-Corp, 12 Months",Depends on Experience
Senior Big Data Scientist (Remote),Staffsource Tech dba Southeastern Tech Consultants,,7 hours ago,"predictive analysis, dashboards, Big data, Communication skills",Full Time,"$80,000 - $100,000"
Data Scientist ( W2) Only,Analysts International,"Palo Alto, CA",11 hours ago,"Algorithms, Machine learning, Python, TensorFlow, Data science",Full Time,Depends on Experience
Data Scientist/Python Developer - Remote,SSI,,14 hours ago,"Data Sceintist, Python, Python Libraries, matplotlib, pandas, NumPy, scipy, scipy.sparse, JSON","Contract W2, 12 Months",Depends on Experience
Lead Data Scientist (Healthcare),PeerSource,,1 week ago,"data science, data analytics, SQL, business intelligence, SAS, Python, R, Tableau, healthcare, medical records",Full Time,Depends on Experience
Python data scientist,SOHO Square Solutions,"New York, NY",2 weeks ago,"Agile, Apache Kafka, Architecture, Automation, Banking, Big data, COM, Collaboration, Core Data, Data engineering, Data science, Data storage, Database, DevOps, ETL, Finance, Flask, Hard working, Infrastructure, Innovation, Integration, Machine learning, Modeling, MongoDB, NLTK, Natural language processing, NoSQL, NumPy, Oracle, Partnership, Process improvement, Production, Python, QA, REACH, RESTful, SOLID, SQL, Scalability, Science, Software, Software design, Unstructured data, Visualization, Web services, scikit-learn","Contract W2, Contract Independent",$60 - $70
Intern - Data Scientist,Centurylink,"Chicago, IL",6 days ago,"Business Acumen, Communication Skills, Data Mining, Data Science, DevOps, Meeting Deadlines, Predictive Models, Teamwork / Collaboration, Verbal / Oral Communication","Full Time, permanent",
Intern - Data Scientist,Centurylink,"Chicago, IL",2 days ago,"Apache Hadoop, Big Data, BigQuery, Business Acumen, Client Base Retention, Communication Skills, Data Management, Data Modeling, Data Science, Data Structures, Data Transformation, Deep Learning, Experiments, Java, Keras, Machine Learning, Problem Solving, Product Management, Python, Research, Scikit-learn, Software Architecture, Software Development, Splunk, Statistical Analysis, Statistics, Tableau, TensorFlow, Web Development",Full Time,
Data Scientist,Frontier Strategies,"San Antonio, TX",1 week ago,".NET, Algorithms, Analytics, Apache Maven, Apache Spark, Artificial intelligence, Big data, Business analysis, Dashboard, Data acquisition, Data analysis, Data science, Deep learning, DoD, Documentation, Education, Engineering, Ensemble, Framework, IT infrastructure, Implementation, Infrastructure, Intelligence analysis, Investigation, Machine learning, Modeling, Operations, Problem solving, Python, R, Reporting, Research, SEC, Scala, Security clearance, Software development, Time management, Visualization",Full Time,Depends on Experience
Senior Statistician and Data Scientist,"Axle Informatics, LLC","North Bethesda, MD",1 week ago,"2D computer graphics, 3D computer graphics, Bioinformatics, Biostatistics, Data science, Data analysis, Database, Python, R, Health care, Julia, Epidemiology, Research, SQL",Full Time,Depends on Experience
Data Scientist,Sunrise Chase,"Boston, MA",3 weeks ago,"Apache Hadoop, Apache Spark, Computer science, Data science, Deep learning, MapReduce, NumPy, Python, scikit-learn, Mathematics, Statistical models, Statistics, Machine learning",Full Time,"$80,000 - $150,000"
Data Scientist-Remote,"Zachary Piper Solutions, LLC","Quantico, VA",4 hours ago,Full Time,,
Data Scientist / Data Science Advisor,Ampcus Inc,"St. Louis, MO",1 week ago,"Communication skills, Computer science, Cost control, Creativity, Data science, Decision-making, Extraction, Health care, Forecasting, Machine learning, Mathematics, Metrics, Microsoft SQL Server, Microsoft SSIS, Oracle, PostgreSQL, SQL, Statistical models, Statistics, Tableau, Teradata, Thought leadership",Contract W2,Depends on Experience
Data Scientist,Petadata,"San Francisco, CA",1 week ago,"Data analysis, Amazon Web Services, Business requirements, Communication skills, Data governance, Governance, Microsoft Windows Azure, Microsoft Power BI, Resource management, Stata, Tableau, Senior management, Gap analysis, Implementation, Software, Operations, Oracle Cloud","Contract W2, Contract Independent, 24 Months",Depends on Experience
Lead Data Scientist /Machine Learning Engineer,BayOne Solutions,"Atlanta, GA",11 hours ago,"computer vision, python, scala, tensorflow, image","Contract W2, Contract Corp-To-Corp, 12 Months",Depends on Experience
Data Scientist - 100% remote,Calance,"Denver, CO",3 hours ago,,,
Data Scientist,"The Judge Group, Inc.","Colorado Springs, CO",3 hours ago,,,
Data Scientist,"Genuent Global, LLC","Tempe, AZ",3 hours ago,"Contract W2, Contract Independent, 12+ mos",BASED ON EXPERIENCE,
Data Scientist,"Genuent Global, LLC","Houston, TX",3 hours ago,Full Time,$120000 - $130000 hr,
Data Scientist / Automation Specialist,"Genuent Global, LLC","Tempe, AZ",3 hours ago,"Contract W2, Contract Independent, 12+ mos",BASED ON EXPERIENCE,
Data Scientist,CyberCoders,"Boston, MA",14 hours ago,,,
Sr. Data Scientist (TS/SCI w/Poly Required),SAIC,"Fairfax, VA",4 hours ago,,,
Data Scientist / Machine Learning Specialist,"Genuent Global, LLC","Houston, TX",3 hours ago,Full Time,BASED ON EXPERIENCE,
"Remote Data Scientist/Product Analyst, Health Insurance",Mako Professionals,,7 hours ago,"Analyst, Director, SQL, Python, IT",Full Time,
Sr. Data Scientist,Xoriant Corporation,"San Diego, CA",9 hours ago,"ML, AI","Contract W2, 12 Months",Depends on Experience
Data Scientist,"Promantus, Inc","San Jose, CA",3 weeks ago,"Machine Learning, Data Visualization, Statistical analysis, Data Mining, Research, Big Data, H2O, spark, XGboost","Contract Independent, Contract Corp-To-Corp, 12 Months",Depends on Experience
Atmospheric Data Scientist (Python),CyberCoders,"Denver, CO",14 hours ago,,,
Data Scientist,"Genuent Global, LLC","Houston, TX",3 hours ago,Full Time,$135000 - $135000 hr,
Data Scientist,Robert Half,"Palo Alto, CA",3 hours ago,,,
Data Scientist II,COX Enterprises,"Atlanta, GA",7 hours ago,,,
Data Scientist ( Python ),Indotronix International Corp,"Plano, Texas",5 hours ago,"Python, Rest, Microservices, Pandas, Pytest",Contract W2,Depends on Experience
Data Scientist Principal,SAIC,"Upper Marlboro, MD",4 hours ago,,,
Senior Data Scientist,Creoal Consulting,"Springfield, VA",1 day ago,"R, Python, Scala, Java, SQL programming, NLP, NER",Full Time,Depends on Experience
Data Scientist/ Machine Learning,"Radiansys, Inc.","San Francisco, CA",1 day ago,"Sagemaker, Redshift, Aurora, Redis, EMR, SNS, SQS, DocDB, Cloudwatch, Optimization, Machine Learning, Deep Learning, AI, Simulation, NLP, Amazon Cloud Services, Python, Devops, cloud, AWS, TF, Pytorch, MLPs, RNNs, CNNs, Transformers",Full Time,Depends on Experience
DATA SCIENTIST/ DATA ANALYST,Primesoft Consulting Services Inc,"Jersey City, NJ",14 hours ago,"SQL, PHP, Python, Perl, R, SAS",Full Time,Depends on Experience
Data Scientist (Mid)-Data Science,"The Judge Group, Inc.","St. Louis, MO",3 hours ago,,,
"Remote SQL/Python Data Scientist, Healthcare/Insurance",Mako Professionals,,7 hours ago,"SQL, Python",Full Time,
"Hiring: senior Data Scientist, Ph.D/Masters",OnwardPath Technology Solutions LLC,"Costa Mesa, CA",1 day ago,"Ph.D. in economics, statistics, physics, math, or another quantitative field","Contract W2, Contract Independent, Contract Corp-To-Corp, 6 Months",Depends on Experience
Data Scientist III,Ascent Services Group,"Broomfield, CO",3 hours ago,Five-plus years' experience.,"Contract W2, Contract Independent, 11+ mos",BASED ON EXPERIENCE
Senior Data Scientist - Geneticist (REMOTE),CyberCoders,"South San Francisco, CA",14 hours ago,,,
Data Scientist - Entry Level,Lawrence Livermore National Laboratory,"Livermore, CA",3 hours ago,"Laboratory, Security, Applications, Java, Python, Matlab, Linux, UNIX, Windows, Test",Full Time,
Product Data Scientist,Mainz Brady Group,"San Francisco, CA",5 hours ago,,,
Lead Data Scientist / Analyst,"Vector Consulting, Inc","Denver, CO",1 week ago,"Data Analysis, SQL, SAS","Contract W2, Contract Independent, 12 Months",Depends on Experience
DATA SCIENTIST - INTERMEDIATE,"The Judge Group, Inc.","San Francisco, CA",3 hours ago,,,
Data Scientist - Digital Marketing Analysis,Bayside Solutions,"Sunnyvale, CA",17 hours ago,,,
Data Scientist,Lawrence Livermore National Laboratory,"Livermore, CA",3 hours ago,"Laboratory, Java, Python, Matlab, Linux, UNIX, Windows, Test, Security",Full Time,
Data Scientist,"Russell, Tobin & Associates","Cupertino, CA",12 hours ago,"Statistics, Informatics, Python, AWS S3, PostgresSQL","Contract W2, 6 Months",Depends on Experience
Data Scientist,PK,"Philadelphia, PA",2 hours ago,"Python, SQL",Full Time,
Computer Vision / Image Processing - Data Scientist,CyberCoders,"Los Angeles, CA",14 hours ago,,,
Data Scientist,Alpha Consulting Corp.,"Princeton, NJ",3 hours ago,"SPOTFIRE, TABLEAU, POWERBI, POWERQUERY, SHAREPOINT, SQL, EXCEL","Contract W2, Contract Independent, 4+ mos",$85.25 hr
Data Scientist,"The Judge Group, Inc.","Redmond, WA",3 hours ago,,,
Data Scientist - media experience required - Remote. #312682,Planet Technology,,12 hours ago,"spark, python","Contract W2, Contract Independent, 14 Months",$70 - $90
Data Scientist,Denken Solutions,"Renton, Wa, WA",5 hours ago,"ETL, BI, APIs using Plumber, Flask, Swagger, Docker, Kubernetes, Scala, Spark","Contract W2, Contract Corp-To-Corp",$
Data Scientist,"Zachary Piper Solutions, LLC","Quantico, VA",4 hours ago,Analyst,Full Time,
Data Scientist- MachineLearning/Artificial Intelligence/Python/Docker,Ab Ovo  Inc,"Denver, CO",10 hours ago,"machine learning, artificial Intelligence, python, tensorflow, pytorch, docker, container, kubernetes","Contract W2, 6 Months",Depends on Experience
Data Scientist,IDC Technologies,"San Francisco, CA",2 hours ago,"Python, AWS, Machine learning Devops, CICD, Jenkins",Full Time,Depends on Experience
Associate Data Scientist,Cerner Corporation,"North Kansas City, MO",3 hours ago,"IT, Computer, Software, Engineering, SQL",Full Time,
Data Scientist,Cerner Corporation,"Kansas City, MO",3 hours ago,"IT, Computer, Software, Engineering",Full Time,
Data Scientist,"International Millennium Consultants, Inc. (IMC)","Philadelphia, PA",1 day ago,"AWS, Python, SQL, Machine Learning, Java, AngularJS","Contract W2, Contract Independent, 6 Months",Depends on Experience
Data Scientist,Robert Half,"Manchester, NH",3 hours ago,,,
Data Scientist,Primesoft Consulting Services Inc,"Jersey City, NJ",13 hours ago,"Python, R, Machine learning",Full Time,Depends on Experience
Data Scientist,"The Judge Group, Inc.","St. Louis, MO",3 hours ago,,,
Data Scientist Sr Principal,SAIC,"Chantilly, VA",4 hours ago,,,
Data Scientist Team Manager,SAIC,"Austin, TX",4 hours ago,,,
Data Scientist Team Manager,SAIC,"San Antonio, TX",4 hours ago,,,
Data Scientist Team Manager,SAIC,"Huntsville, AL",4 hours ago,,,
Data Scientist,Eliassen Group,"San Francisco, CA",6 hours ago,,,
Data Scientist (NLP Expert),"Zachary Piper Solutions, LLC","Arlington, VA",4 hours ago,Python,Full Time,
Data Scientist II,Tailored Management,"Redmond, WA",12 hours ago,"Data sets, Matlab OR Python OR SAS, Statistics, Machine learning, SQL","Contract W2, 12 Months",$45 - $57
LEAD DATA SCIENTIST,Lucas Systems Inc,"Wexford, PA",4 days ago,"Algorithms, Roadmaps, Warehouse management, Supply chain management, Distribution",Full Time,Depends on Experience
Data Scientist,SAIC,"Herndon, VA",4 hours ago,,,
R Programmer (Data Scientist),Cynet Systems,"Jackson, MS",4 days ago,,,
Data Scientist,Software Engineering Institute,"Pittsburgh, PA",4 hours ago,SEI,Full Time,
Data Scientist,SAIC,"Hampton, VA",4 hours ago,,,
Data Scientist,Eliassen Group,"San Jose, CA",6 hours ago,,,
Data Scientist,Mantek Solutions Inc,"Newport Beach, CA",1 hour ago,"Text Analytics, NLP (Natural Language Processing), Advanced Degree in (Economics, Statistics, Physics, Math, or another quantitative field), Panda, NumPy, SciPy, Scikit-Learn, Machine Learning","Contract W2, C2H W2, Contract Independent",
Data Scientist - Data Center Analyst,University of Virginia,"Charlottesville, VA",3 hours ago,"System, Matlab, Python, Computer, Systems, Engineering, Java, Application, Materials, Applications, Library",Full Time,
Data Scientist/ML Engineer,"Radiansys, Inc.","San Francisco, CA",1 day ago,"Machine Learning, NLP, Python, Sagemaker, Redshift, Aurora, Redis, EMR, SNS, SQS, DocDB, Cloudwatch, TF, Pytorch, MLPs, RNNs, CNNs",Full Time,Depends on Experience
Senior Data Scientist - Manufacturing and Supply Chain,Vertex Pharmaceuticals Inc (US),"Boston, MA",moments ago,"IT, Python, JavaScript, Linux, SQL",Full Time,
Data Scientist,"Atrilogy Solutions Group, Inc.","Costa Mesa, CA",7 hours ago,"Engineering, NLP, Python, SQL, IT, Project, DBA, Software, Engineers, QA, Systems, Network, Security, ERP, CRM, Oracle, PeopleSoft, JD Edwards, Lawson, SAP, Business Intelligence, Project Manager, Director, Architect, UX, Web","Contract W2, Contract Independent",
Senior Data Scientist,Deloitte,"Huntsville, AL",6 hours ago,,,
Sr Data Scientist (Tableau),VSolvit,"Norco, CA",2 weeks ago,"Agile, Apache Hadoop, Business intelligence, Collaboration, Communication skills, Compliance management, Computer science, Creative design, Creativity, Critical thinking, Dashboard, Data modeling, Data visualization, Data warehouse, Dimensional modeling, DoD, Essbase, Geospatial analysis, Government, IT, Interfaces, NATURAL, Natural language processing, Oracle, Organizational structure, Performance tuning, Problem solving, Project management, Publishing, Quantitative analyst, Reporting, SQL, Security clearance, Software deployment, Strategic management, Tableau, Teradata, UI, UX, User stories, Visualization",Full Time,"$135,000 - $210,000"
Sr. Data Scientist (remote and part-time),Will-N-Able,,4 days ago,"SQL, Python, Scala, ML frameworks","Contract W2, Contract Independent, 3 Months",Depends on Experience
Senior Data Scientist,Prutech Solutions,"New York, NY",4 days ago,"Machine learning, Microsoft Power BI, Dashboard, Software development","Contract W2, Contract Independent, Contract Corp-To-Corp, 12 Months",Depends on Experience
Sr Data Scientist,Canyon Associates,"Hackensack, NJ",5 days ago,"Tableau, Power BI, Python, SQL, Excel",Full Time,"$130,000 - $160,000"
Data Scientist,The Jacobson Group,"Minneapolis, MN",3 hours ago,"Research, Manager, Recruiter, Python",Full Time,
Data Scientist-Internship,Anblicks,"Dallas, TX",1 week ago,"Python, algorithms, custom analysis, predictive models",Full Time,Depends on Experience
Data Scientist - Entry to Experienced Level,NSA,"Fort Meade, MD",7 hours ago,,,
Data Scientist,Kforce Technology Staffing,"Redmond, WA",1 week ago,,,
Principal Data Scientist,GEICO,"Chevy Chase, MD",6 hours ago,,,
Data Scientist,Virtusa,"Pleasanton, CA",6 days ago,"Tensorflow, Python, ML","Contract W2, 12 Years",$80 - $90
Senior Data Scientist,Jobot,"Pasadena, CA",3 hours ago,,,
Data Scientist,Bloomberg,"Princeton, NJ",3 hours ago,"Systems, Python",Full Time,
Data Scientist,Equifax,Melbourne,6 hours ago,,,
